Age,Gender,Socioeconomic_Status,Attendance_Percentage,Study_Hours_Per_Week,Previous_Term_Grade,Continuous_Assessment_Score,Performance_Status
21,Male,Low,99.4,22.0,90.6,17.7,Excellent
24,Male,Medium,80.4,13.1,90.2,26.7,Excellent
21,Female,Medium,67.6,5.7,66.0,22.1,Average
18,Female,High,95.5,25.1,69.0,22.6,Excellent
20,Female,High,88.5,17.8,69.7,21.8,Excellent
22,Male,Medium,82.0,18.8,69.9,38.6,Excellent
20,Male,Medium,82.6,10.1,58.6,28.0,Average
24,Female,Medium,100.0,16.4,57.0,28.6,Excellent
22,Male,Medium,78.6,16.3,85.0,21.1,Average
18,Male,High,76.5,10.9,83.1,27.5,Excellent
24,Female,Medium,85.9,14.2,82.9,23.9,Average
19,Female,Medium,96.8,7.5,69.2,21.1,Average
21,Female,Low,100.0,13.3,92.7,34.6,Excellent
18,Female,Medium,91.6,19.9,69.7,27.9,Average
21,Male,Medium,72.3,11.3,80.4,27.6,Average
23,Male,High,100.0,24.5,53.3,20.1,Average
19,Female,Medium,84.8,7.8,67.2,18.6,Average
19,Male,Medium,76.6,13.7,68.1,24.7,Average
18,Female,High,74.2,11.7,69.2,22.1,Average
19,Female,Low,93.4,14.1,54.1,28.1,Excellent
22,Male,Medium,87.4,21.9,78.4,28.4,Excellent
19,Female,Low,88.5,10.1,82.3,25.3,Excellent
21,Male,Medium,97.9,12.7,61.1,29.1,Average
21,Male,High,77.0,18.3,56.2,26.0,Average
24,Male,Medium,98.7,15.5,60.8,20.6,Average
21,Male,High,79.8,15.9,75.9,24.0,Average
24,Female,Medium,100.0,10.2,62.8,25.7,Average
21,Male,High,91.0,14.6,68.4,29.6,Excellent
22,Female,Medium,75.8,20.7,57.1,26.1,Average
24,Female,High,64.7,7.0,93.8,22.1,Average
20,Female,Low,93.1,11.5,70.9,29.8,Excellent
23,Female,High,81.3,5.9,83.8,26.9,Average
18,Male,Medium,83.4,17.7,75.9,32.7,Excellent
21,Male,Medium,92.7,21.1,69.5,25.4,Excellent
19,Female,High,95.1,14.1,68.9,19.8,Average
21,Female,Medium,97.2,10.0,61.3,30.9,Excellent
19,Male,High,73.3,10.1,64.6,22.1,Average
23,Female,Low,99.3,13.5,57.9,26.5,Average
23,Male,Medium,79.2,13.5,56.6,25.9,Average
23,Female,Medium,62.4,19.6,95.0,25.2,Excellent
19,Male,Low,73.2,11.7,73.3,24.2,Average
21,Female,Medium,87.2,17.2,87.6,16.7,Average
23,Female,Low,75.2,13.5,60.5,20.0,Average
22,Male,Medium,84.1,11.3,55.0,30.6,Average
24,Female,Medium,88.4,13.3,58.3,27.1,Average
19,Female,Medium,83.2,16.7,64.9,34.5,Excellent
19,Male,Medium,80.1,19.6,70.4,19.8,Average
21,Female,Medium,72.5,13.7,68.2,24.8,Average
19,Male,Medium,85.2,9.0,60.7,30.8,Average
19,Male,Low,64.4,20.0,71.1,22.2,Average
23,Female,High,78.1,10.5,72.1,22.6,Average
21,Female,High,75.7,16.3,78.4,23.5,Average
23,Female,Medium,82.6,14.9,87.6,22.8,Excellent
24,Female,Medium,82.9,14.2,65.6,27.7,Average
24,Female,High,94.6,12.6,84.6,16.1,Average
23,Female,Low,100.0,18.1,70.8,33.2,Excellent
24,Female,Low,73.8,0.0,51.7,20.2,At-Risk
21,Male,Medium,100.0,20.7,91.4,14.4,Average
18,Female,Medium,77.2,10.4,97.3,24.9,Excellent
23,Male,Low,86.7,17.0,77.4,23.1,Excellent
22,Female,Medium,90.1,16.8,71.1,24.1,Average
22,Female,High,100.0,21.4,66.7,26.6,Average
19,Male,High,79.6,16.0,64.4,28.2,Average
24,Female,Medium,67.0,10.9,84.5,33.4,Excellent
22,Female,Low,99.9,7.0,69.8,21.5,Average
19,Male,High,76.7,13.3,90.1,28.9,Excellent
18,Female,Medium,81.4,5.2,70.4,28.5,Average
21,Female,Low,73.8,11.9,65.1,11.8,Average
21,Female,Low,81.4,13.5,62.8,20.8,Average
21,Male,High,76.6,11.6,61.1,18.6,Average
22,Female,Medium,91.8,15.2,76.2,27.2,Excellent
18,Female,High,85.8,13.8,54.5,26.7,Average
22,Female,High,78.2,13.4,60.2,26.8,Average
24,Female,Medium,95.0,2.9,85.9,23.5,Excellent
22,Male,Medium,87.5,8.5,58.5,24.0,Average
18,Male,Medium,66.5,18.2,80.4,24.9,Excellent
18,Female,Medium,94.2,19.0,45.2,23.0,Average
24,Female,Medium,86.8,5.8,87.4,28.9,Excellent
18,Male,Medium,98.9,10.9,54.8,19.7,Average
18,Male,Medium,86.2,20.4,59.5,21.1,Average
21,Female,High,77.1,11.4,78.2,25.6,Average
24,Male,Medium,83.0,14.4,73.2,23.2,Average
20,Female,Medium,93.0,22.2,80.7,19.5,Average
20,Male,Medium,77.3,13.2,54.7,27.7,Average
18,Male,Medium,80.6,12.5,66.6,22.1,Average
20,Male,Medium,82.8,14.2,62.6,20.8,Average
20,Male,Medium,73.5,24.3,56.7,24.1,At-Risk
18,Female,Medium,77.4,17.2,77.2,20.5,Excellent
20,Male,Low,86.7,15.1,81.3,24.8,Excellent
22,Male,Medium,97.0,12.4,66.0,23.2,Average
19,Female,Medium,88.2,17.7,88.3,22.4,Average
24,Male,Medium,84.5,18.3,60.6,22.5,Average
19,Male,High,76.7,9.6,88.0,30.0,Excellent
18,Female,Medium,96.0,18.4,76.7,26.8,Average
21,Male,Medium,89.3,14.2,55.3,16.5,At-Risk
24,Female,Medium,77.9,15.1,93.8,29.4,Excellent
18,Female,Medium,94.0,10.6,64.7,27.6,Average
21,Female,Low,90.6,13.0,84.5,27.3,Excellent
19,Female,Medium,76.9,9.8,71.7,29.4,Average
18,Male,Medium,84.0,9.6,74.5,25.1,Average
24,Female,Medium,80.1,16.9,80.8,28.1,Average
24,Male,Low,100.0,13.2,80.2,22.7,Excellent
23,Male,Low,90.3,8.5,65.9,29.2,Excellent
22,Male,Medium,86.9,25.9,76.4,26.1,Average
20,Male,High,89.7,9.4,75.5,18.1,Average
21,Male,Medium,98.8,20.5,72.6,30.2,Excellent
23,Male,Medium,84.2,7.6,67.6,24.4,Average
20,Male,Low,79.1,17.3,72.5,23.7,Average
20,Male,Medium,93.4,13.7,93.6,22.8,Excellent
18,Male,Medium,83.3,11.9,66.5,23.2,Average
20,Male,Medium,74.3,16.0,84.5,26.1,Average
22,Female,Medium,72.4,15.3,62.6,20.1,Average
24,Female,Low,100.0,10.9,59.4,17.2,Average
23,Female,Low,86.3,10.7,100.0,19.7,Excellent
20,Male,Medium,79.1,7.1,76.5,26.9,Average
18,Female,Low,82.7,16.5,76.8,24.2,Average
22,Female,Low,93.1,8.7,77.1,30.6,Excellent
19,Female,Medium,82.1,15.0,86.9,24.7,Excellent
24,Male,High,70.5,18.0,74.9,29.2,Excellent
24,Male,Medium,88.3,16.0,79.8,21.5,Average
23,Male,Medium,97.1,11.4,57.3,22.8,Average
24,Male,Medium,96.4,19.5,81.8,25.0,Excellent
20,Female,High,79.4,13.0,67.2,24.3,Average
18,Female,Medium,97.7,8.3,78.1,23.8,Average
24,Female,Low,87.1,13.6,49.4,20.6,Average
24,Female,Medium,97.4,17.9,77.6,17.1,Average
19,Male,Low,90.7,11.6,43.1,28.2,Average
19,Male,Medium,69.8,19.4,66.7,27.6,Average
21,Male,Medium,100.0,11.1,49.5,21.9,Average
22,Female,High,85.5,11.8,77.6,26.9,Excellent
20,Male,Medium,90.8,9.8,70.8,24.2,Average
24,Male,Medium,71.6,18.4,60.8,30.5,Excellent
24,Female,High,90.1,14.7,87.2,18.4,Average
18,Female,Low,96.0,10.1,59.2,24.4,Average
21,Male,Medium,100.0,13.0,33.6,24.0,At-Risk
22,Male,Medium,99.0,0.0,76.2,25.8,Excellent
21,Male,Medium,90.5,18.9,48.8,32.7,Average
23,Male,Medium,69.6,14.1,59.6,24.4,Average
22,Male,High,86.3,3.0,63.8,28.7,Excellent
24,Male,Medium,79.1,7.7,52.9,24.3,Average
24,Female,Medium,87.3,12.9,64.1,30.4,Average
22,Female,Medium,72.8,8.4,53.1,28.8,Average
24,Female,High,82.9,19.0,71.9,23.3,Average
20,Male,High,79.8,17.1,55.3,23.0,Average
22,Female,High,79.5,16.8,70.4,27.4,Excellent
21,Male,Low,79.6,2.0,83.9,21.7,Average
22,Male,Medium,83.6,12.4,79.4,26.0,Excellent
24,Female,Low,87.9,11.5,69.0,23.2,Average
20,Male,Medium,60.0,10.2,58.1,26.8,Average
20,Male,Low,61.2,12.9,71.9,24.2,Average
23,Female,Medium,81.6,9.4,61.7,21.5,Average
21,Female,Medium,83.0,16.1,72.4,30.5,Excellent
19,Female,Low,86.9,18.8,49.4,26.2,Excellent
19,Male,Medium,77.7,18.4,79.7,24.7,Average
22,Female,Medium,85.1,14.3,70.4,27.1,Excellent
23,Female,Medium,86.3,25.0,96.5,16.6,Excellent
18,Male,Low,77.7,20.7,85.7,35.5,Excellent
22,Female,Medium,95.1,14.5,76.8,25.1,Excellent
23,Female,Medium,86.8,12.6,68.5,15.2,Average
21,Female,Low,90.5,21.7,61.2,31.0,Average
21,Male,Low,85.7,20.0,81.3,21.2,Average
21,Male,Medium,100.0,7.9,67.2,30.2,Excellent
21,Male,High,91.0,20.4,84.0,25.6,Excellent
21,Male,Medium,80.1,14.2,74.8,17.1,Average
23,Female,Medium,93.2,10.7,74.9,26.3,Excellent
23,Male,Medium,68.6,5.1,77.1,25.9,Average
20,Male,Medium,86.2,13.7,59.0,30.8,Average
19,Female,Low,88.2,14.9,57.7,27.6,Average
24,Female,Medium,86.3,22.9,57.3,18.8,Average
21,Female,High,81.7,19.8,82.6,30.0,Excellent
18,Male,Medium,74.9,12.1,58.7,22.9,Average
24,Male,High,77.1,16.9,60.1,33.6,Average
23,Male,Medium,86.0,19.1,76.5,23.2,Average
18,Female,Low,73.9,15.4,67.0,23.9,Excellent
18,Female,High,100.0,12.1,65.4,20.9,Average
18,Male,Low,58.6,12.3,64.4,22.5,Average
20,Female,Medium,81.8,16.9,42.1,21.2,Average
23,Female,Low,86.1,17.1,58.4,30.9,Excellent
18,Female,Low,90.1,13.5,84.2,18.3,Excellent
21,Male,Medium,75.8,1.9,63.5,29.0,Average
22,Female,Medium,96.3,8.5,47.2,29.1,Average
18,Female,Medium,71.1,18.1,57.9,31.9,Average
20,Male,Medium,79.3,4.3,74.3,25.2,Average
24,Male,Low,91.2,20.9,74.1,19.9,Excellent
23,Female,Low,95.4,20.2,66.5,24.1,Excellent
20,Female,Medium,71.0,15.2,61.7,28.0,Average
18,Male,Medium,100.0,18.0,53.2,25.4,Average
23,Male,Medium,76.0,17.6,74.4,26.8,Average
22,Female,Medium,71.9,14.4,80.1,31.8,Excellent
18,Female,High,90.0,8.1,85.5,27.9,Excellent
20,Female,Medium,81.5,19.8,56.7,26.0,Excellent
19,Female,Medium,80.0,22.0,86.4,15.8,Excellent
21,Male,Medium,91.0,9.0,69.3,21.1,Average
24,Female,Medium,69.7,7.9,70.3,23.0,Average
20,Female,Medium,68.0,14.3,80.7,15.1,Average
23,Male,Medium,79.0,11.9,63.5,19.5,Average
18,Female,Medium,95.8,15.7,44.0,23.7,Average
21,Male,Medium,79.5,21.0,78.5,24.5,Average
18,Female,High,100.0,3.8,74.2,27.5,Excellent
23,Female,High,97.0,22.9,65.7,24.0,Average
18,Male,High,87.8,13.0,77.5,26.2,Excellent
19,Male,Medium,88.4,17.6,79.9,22.9,Excellent
21,Female,Medium,87.8,18.1,51.9,25.2,Average
21,Female,Medium,86.6,18.7,70.3,27.3,Excellent
23,Female,Medium,81.3,15.3,42.7,32.4,At-Risk
24,Male,Medium,82.5,16.5,68.5,22.4,Average
19,Female,Medium,74.3,16.4,65.5,25.7,Average
20,Male,Medium,62.9,11.8,75.9,29.3,Average
18,Male,Medium,96.0,6.2,57.1,17.8,Average
22,Female,Low,86.6,8.9,64.9,35.0,Excellent
18,Male,Medium,85.1,14.5,31.4,30.9,Average
18,Female,Low,89.0,11.1,76.7,16.4,Average
20,Female,High,76.7,11.1,68.9,26.9,Average
18,Female,Medium,75.0,24.0,71.0,22.2,Average
19,Female,Low,82.2,19.3,52.1,23.0,Average
19,Female,Low,98.7,13.7,74.8,26.8,Excellent
21,Male,Medium,73.3,18.4,89.8,30.3,Excellent
23,Male,Medium,58.7,12.9,67.8,22.7,Average
24,Female,Medium,79.8,15.6,77.8,22.7,Average
22,Female,Low,96.4,17.2,59.6,26.9,Average
18,Male,Medium,67.7,12.9,69.1,27.9,Average
18,Male,Medium,73.2,11.6,51.6,20.0,At-Risk
20,Male,Medium,87.6,21.1,79.5,33.6,Excellent
23,Male,Medium,100.0,18.1,71.9,21.8,Average
19,Female,Medium,71.4,3.7,55.4,29.8,Average
22,Female,Medium,71.0,11.7,60.4,27.3,Average
21,Male,High,88.4,11.1,70.7,28.0,Average
19,Female,Medium,97.0,11.9,81.1,21.9,Excellent
23,Male,Medium,78.8,19.3,87.8,16.4,Average
24,Female,Low,68.8,15.1,68.4,24.9,Excellent
21,Male,Medium,89.3,8.1,53.6,24.9,Average
24,Female,Low,91.1,13.1,72.9,20.2,Average
20,Male,Medium,100.0,17.7,91.4,29.6,Excellent
20,Male,High,91.6,13.9,50.5,24.7,Average
18,Female,Medium,93.3,11.8,58.5,21.0,Average
24,Male,Low,82.4,16.7,77.3,27.9,Excellent
23,Female,Low,100.0,23.1,71.8,28.1,Excellent
22,Female,Medium,81.0,17.3,63.5,21.4,Average
21,Male,Low,78.9,21.5,72.6,31.2,Average
19,Female,Low,100.0,12.1,81.7,36.2,Excellent
23,Female,Medium,70.3,15.0,68.8,19.5,Average
23,Female,Medium,66.5,14.9,67.8,24.1,Average
20,Female,Medium,86.2,15.6,77.1,26.7,Average
24,Female,High,85.0,17.2,66.8,36.4,Excellent
18,Male,Low,82.7,10.4,83.7,21.3,Average
18,Female,High,94.9,18.2,94.3,20.3,Excellent
21,Female,Medium,75.9,6.9,59.3,20.3,Average
20,Female,High,85.6,8.3,55.0,31.1,Average
23,Female,Medium,81.4,25.7,74.5,21.5,Average
22,Female,High,76.1,12.4,54.6,20.7,Average
20,Male,High,84.4,18.6,54.4,26.2,Excellent
21,Female,Medium,93.5,23.5,45.4,26.5,Average
21,Male,High,100.0,3.4,65.4,30.4,Average
20,Male,Medium,90.8,20.6,69.6,25.5,Excellent
21,Male,Medium,59.9,18.2,63.8,26.2,Average
20,Male,Medium,84.6,23.2,86.7,24.5,Excellent
19,Female,Medium,85.5,9.1,85.8,18.5,Average
20,Male,Low,94.4,22.3,93.1,24.0,Excellent
24,Male,Medium,86.8,11.3,70.6,25.3,Average
20,Female,Medium,97.5,20.3,84.2,22.8,Excellent
21,Female,Medium,88.9,14.8,73.7,17.2,Average
24,Female,High,100.0,18.9,72.5,19.3,Average
21,Male,Medium,80.6,15.2,64.4,24.8,Average
18,Female,Medium,86.4,5.8,42.8,29.7,At-Risk
18,Female,Medium,93.3,0.0,77.6,33.4,Excellent
24,Male,Low,79.3,16.0,83.8,24.1,Excellent
19,Female,Low,77.1,13.7,51.7,21.4,Average
18,Female,Medium,78.7,17.0,69.9,23.1,Excellent
20,Female,Medium,77.5,13.7,81.9,19.8,Excellent
21,Female,High,90.2,25.1,65.7,28.9,Excellent
18,Male,Medium,66.7,16.2,84.3,35.7,Excellent
18,Female,Medium,69.4,12.8,68.3,21.5,Average
19,Female,Medium,100.0,16.7,63.7,19.0,Average
24,Male,Low,77.7,12.9,85.0,30.0,Excellent
24,Female,Medium,87.0,15.5,58.8,26.6,Average
23,Male,Medium,70.1,8.9,61.3,26.7,Average
19,Female,Medium,85.9,15.0,59.3,32.9,Excellent
20,Male,Medium,77.8,12.6,56.3,18.2,Average
24,Male,High,69.4,9.4,71.8,18.0,Average
21,Male,High,98.4,24.9,63.8,24.2,Average
19,Male,Medium,96.8,9.6,75.9,25.3,Excellent
18,Female,Medium,83.9,15.0,49.2,23.2,Average
21,Male,Medium,95.0,11.0,56.5,37.3,Excellent
21,Female,Medium,100.0,16.5,70.6,23.4,Average
18,Male,Medium,92.5,8.6,87.6,22.2,Excellent
19,Male,Low,89.8,19.2,74.5,25.6,Excellent
18,Male,Medium,87.0,25.2,62.9,29.9,Excellent
23,Female,Medium,91.5,10.8,52.1,21.4,Average
21,Male,Medium,81.4,21.1,62.2,24.3,Average
22,Female,High,82.2,13.1,69.5,30.0,Average
22,Female,High,89.5,22.5,41.7,30.3,Average
20,Female,Medium,80.3,25.9,55.4,26.1,Excellent
24,Female,Medium,81.3,13.8,61.1,37.1,Average
18,Female,High,85.0,7.4,66.9,34.9,Average
18,Female,Low,96.5,19.7,69.3,18.0,Average
20,Female,Medium,73.7,16.1,62.7,16.5,Average
20,Female,Low,92.6,17.5,76.1,29.0,Excellent
20,Female,Medium,92.9,13.3,71.5,31.8,Excellent
21,Male,Medium,92.9,10.6,65.6,23.9,Average
23,Male,High,76.9,20.8,77.7,22.5,Average
18,Male,High,68.1,16.6,76.7,20.9,Average
21,Male,Low,90.6,7.8,52.6,19.2,Average
20,Male,Medium,86.9,18.4,69.6,30.7,Excellent
18,Female,High,95.0,17.4,80.7,23.1,Excellent
21,Female,Medium,78.0,13.4,82.7,26.5,Average
23,Female,High,92.6,23.1,74.5,15.9,Average
21,Female,Medium,95.5,11.9,67.2,30.0,Average
23,Female,Medium,84.0,14.2,75.1,27.9,Average
20,Female,Medium,89.2,18.8,79.7,18.3,Average
23,Female,Medium,88.8,15.4,71.4,26.3,Average
18,Male,Medium,76.8,8.1,72.7,25.0,Average
20,Male,Medium,90.3,15.9,67.0,22.7,Average
18,Male,Medium,100.0,12.9,54.0,10.5,At-Risk
22,Male,Medium,85.2,19.3,67.9,21.7,Average
19,Female,Medium,70.4,15.8,61.9,26.5,Average
23,Female,High,78.1,15.5,61.9,22.3,Average
19,Female,High,67.2,9.8,87.2,23.9,Excellent
19,Male,Medium,97.9,13.8,81.4,32.5,Excellent
23,Female,High,92.6,19.9,49.7,24.6,Average
20,Female,Medium,80.0,11.1,57.0,14.5,Average
22,Female,Medium,70.8,14.8,65.6,24.1,Average
18,Male,High,76.7,10.3,62.3,25.5,Excellent
21,Female,Medium,78.6,9.1,73.8,20.9,Average
18,Male,Low,86.1,14.6,55.1,28.7,Average
21,Male,High,85.8,15.9,81.5,17.7,Average
18,Male,Medium,98.4,25.0,69.5,24.3,Average
23,Male,High,78.1,12.7,65.9,17.6,Average
22,Female,High,69.9,14.7,69.8,23.5,Average
21,Male,Low,73.4,8.7,65.0,28.5,Average
24,Male,High,84.8,18.1,45.6,24.2,Average
20,Female,Medium,77.7,17.0,70.1,23.9,Average
18,Female,Medium,82.1,22.4,66.2,25.1,Excellent
18,Male,Medium,80.5,20.6,58.5,25.4,Average
21,Female,High,94.9,16.8,83.2,28.5,Excellent
20,Male,Low,79.1,12.6,78.0,28.5,Excellent
20,Male,Medium,81.2,16.0,99.3,32.1,Excellent
23,Male,Medium,92.2,14.4,80.0,25.8,Excellent
24,Male,Medium,79.4,19.8,62.3,16.7,Average
23,Female,Medium,89.2,19.1,59.1,29.3,Average
23,Male,Low,88.3,13.5,64.1,31.7,Excellent
23,Female,Medium,86.4,7.7,62.0,37.3,Excellent
23,Female,Medium,73.7,21.7,71.3,32.3,Excellent
23,Female,High,97.3,17.9,51.5,22.5,Average
22,Female,Medium,100.0,13.4,77.8,25.9,Excellent
20,Male,Medium,85.1,17.7,71.1,23.6,Excellent
23,Female,High,74.5,15.4,76.4,23.0,Excellent
20,Male,Low,85.3,21.6,56.3,24.4,Excellent
20,Female,High,94.9,5.4,73.0,31.4,Excellent
19,Female,Medium,78.8,13.0,85.6,17.1,Average
22,Male,High,83.7,23.0,59.7,20.0,Average
23,Male,Medium,88.4,17.8,59.3,31.1,Excellent
18,Male,Low,97.0,23.9,78.5,32.3,Excellent
21,Female,Medium,92.8,8.9,58.4,21.7,Average
24,Female,High,93.2,20.4,67.2,33.3,Excellent
18,Male,Medium,80.7,20.1,87.7,29.9,Excellent
22,Male,Low,89.0,6.6,59.5,23.7,Average
21,Male,Medium,77.8,13.5,88.5,12.8,Average
22,Male,Medium,93.5,14.5,66.0,16.7,Average
20,Female,Medium,96.5,6.9,56.5,21.7,Average
21,Male,Medium,90.5,13.6,77.2,28.8,Average
20,Male,High,81.3,19.4,71.3,28.8,Average
18,Male,Medium,83.0,13.0,70.2,22.7,Average
18,Male,Low,100.0,16.2,60.8,23.8,Average
21,Female,Medium,81.5,16.2,71.2,24.8,Average
21,Male,Low,95.5,14.9,45.2,23.9,Average
23,Female,Medium,88.4,11.5,72.6,25.8,Average
22,Male,Medium,81.7,18.3,85.6,24.8,Excellent
23,Male,Low,71.6,7.1,48.8,16.6,At-Risk
22,Female,Medium,87.1,15.0,65.1,24.0,Average
23,Male,Low,85.9,21.9,59.5,24.9,Average
20,Female,High,100.0,12.8,51.9,29.9,Average
21,Female,High,76.4,11.4,45.4,20.8,Average
18,Male,Low,100.0,18.6,55.8,26.0,Excellent
22,Female,High,88.8,15.8,67.1,27.8,Excellent
22,Female,Medium,88.8,18.7,83.8,24.3,Excellent
18,Female,Medium,79.1,15.2,51.7,16.2,At-Risk
23,Female,Low,88.1,3.1,73.5,30.1,Excellent
22,Female,Medium,89.7,20.9,72.6,28.7,Excellent
24,Female,Medium,94.4,25.4,90.1,26.1,Excellent
20,Female,Medium,75.2,21.4,76.9,25.2,Average
21,Female,Low,99.1,0.0,77.5,16.1,Average
18,Male,Low,88.6,17.3,78.4,28.9,Excellent
21,Male,Medium,91.1,12.7,58.9,32.4,Average
24,Female,Medium,82.8,9.6,63.1,19.4,Average
22,Male,Medium,75.7,15.6,83.4,31.7,Excellent
22,Female,Medium,85.7,14.3,45.4,30.7,Average
24,Female,High,86.9,17.5,61.8,19.3,Average
18,Male,High,71.1,15.3,54.0,23.0,Average
20,Female,Medium,92.9,9.4,72.8,18.0,Average
19,Female,High,95.0,12.1,64.9,24.7,Excellent
18,Female,Medium,77.7,11.3,77.5,27.2,Excellent
19,Female,Medium,74.8,6.4,68.7,18.4,At-Risk
24,Male,Medium,82.0,8.1,51.4,26.9,Average
23,Female,Medium,85.2,13.9,52.0,28.2,Average
19,Female,High,82.4,22.1,69.9,28.3,Average
20,Female,Medium,84.4,12.3,60.7,27.3,Excellent
23,Male,Medium,87.2,11.2,63.6,18.9,Average
19,Female,Medium,71.3,9.1,81.3,24.4,Excellent
24,Male,Low,72.5,15.2,79.1,26.8,Excellent
23,Male,High,57.8,20.9,91.6,32.3,Excellent
24,Female,Medium,94.4,25.0,66.2,25.0,Excellent
19,Female,Medium,85.2,16.4,62.3,27.1,Average
24,Male,Medium,95.5,15.7,75.0,20.3,Average
20,Female,Medium,73.6,12.3,63.3,19.2,Average
19,Male,Low,85.2,13.1,63.7,18.6,Average
19,Male,Medium,87.1,18.1,67.6,22.9,Average
19,Female,Medium,79.4,13.4,89.8,35.3,Excellent
18,Female,Medium,69.5,14.2,78.4,23.0,Excellent
18,Male,High,100.0,14.9,79.7,26.8,Excellent
18,Male,High,99.0,12.0,89.3,27.8,Excellent
20,Male,Medium,81.2,14.6,80.8,19.5,Average
23,Male,Medium,90.1,4.9,56.4,22.8,Average
24,Female,Low,80.2,17.7,80.6,28.1,Excellent
22,Female,Medium,75.0,26.8,82.2,27.1,Excellent
19,Female,Medium,100.0,12.2,77.8,15.0,Excellent
24,Female,Medium,68.4,16.9,67.7,28.0,Average
19,Female,Medium,82.1,19.3,76.6,22.2,Average
20,Male,Low,85.8,21.4,69.8,22.4,Average
19,Female,Medium,100.0,13.7,58.3,27.0,Average
18,Female,Low,94.0,6.0,61.2,32.6,Average
22,Female,Medium,68.3,16.3,78.4,24.0,Average
21,Female,Medium,85.0,15.6,59.1,30.9,Excellent
19,Female,Low,85.2,13.3,60.3,17.8,At-Risk
24,Male,Medium,82.7,14.3,79.0,25.7,Excellent
18,Male,Low,91.2,15.7,71.6,22.3,Average
21,Male,Medium,70.9,16.8,76.9,26.4,Excellent
22,Female,Medium,80.9,16.6,55.3,23.5,Average
21,Male,Low,89.8,13.9,76.6,18.3,Average
18,Male,High,91.8,16.9,62.1,20.6,Average
23,Female,Low,86.5,13.6,57.8,16.8,Average
23,Female,Medium,82.1,18.2,63.9,18.5,Average
21,Female,Medium,83.8,11.9,86.3,27.4,Excellent
20,Male,Medium,92.4,15.4,65.6,23.7,Average
24,Male,Low,85.3,6.9,96.4,26.2,Excellent
24,Female,Medium,74.6,13.2,45.3,34.1,Average
21,Female,Medium,72.7,17.8,51.4,23.5,Average
19,Male,High,70.1,9.8,85.9,28.2,Average
19,Male,Medium,99.6,13.4,88.9,25.1,Excellent
24,Female,Medium,93.1,3.0,59.6,38.8,Excellent
24,Female,High,83.9,8.2,70.8,9.9,At-Risk
23,Male,Medium,80.5,9.5,78.5,21.4,Average
20,Female,High,79.3,15.5,67.2,28.3,Average
18,Male,Medium,95.9,16.7,71.8,21.2,Average
19,Male,High,100.0,14.7,70.1,27.8,Excellent
24,Male,Low,78.9,13.1,52.2,24.7,Average
